;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;
;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;
;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;
Алфатар;24835.18;248.35;100.00;825.45;8.25;3.32;636.21;6.36;2.56;23356.00;233.56;94.04;1.12;0.01;0.00;13.95;0.14;0.06;0.22;0.00;0.00;2.24;0.02;0.01;-;-;-;24835.18;248.35;100.00;823.60;8.24;3.32;635.30;6.35;2.56;23358.75;233.59;94.06;1.12;0.01;0.00;13.95;0.14;0.06;0.22;0.00;0.00;2.24;0.02;0.01;-;-;0.00;24835.18;248.35;100.00;825.57;8.26;3.32;635.28;6.35;2.56;23356.80;233.57;94.05;1.12;0.01;0.00;13.95;0.14;0.06;0.22;0.00;0.00;2.24;0.02;0.01;-;-;-;24836.14;248.36;100.00;827.64;8.28;3.33;636.23;6.36;2.56;23355.86;233.56;94.04;-;-;0.00;13.95;0.14;0.06;0.22;0.00;0.00;2.24;0.02;0.01;-;-;0.00;
Главиница;48082.84;480.83;100.00;2301.67;23.02;4.79;979.04;9.79;2.04;30024.11;300.24;62.44;14051.69;140.52;29.22;664.92;6.65;1.38;4.59;0.05;0.01;56.82;0.57;0.12;-;-;-;48082.84;480.83;100.00;2301.46;23.01;4.79;979.48;9.79;2.04;30023.88;300.24;62.44;14051.69;140.52;29.22;664.92;6.65;1.38;4.59;0.05;0.01;56.82;0.57;0.12;-;-;0.00;48082.84;480.83;100.00;2298.40;22.98;4.78;982.54;9.83;2.04;30023.88;300.24;62.44;14051.69;140.52;29.22;664.92;6.65;1.38;4.59;0.05;0.01;56.82;0.57;0.12;-;-;-;48082.84;480.83;100.00;2298.85;22.99;4.78;982.55;9.83;2.04;30025.34;300.25;62.45;14049.77;140.50;29.22;664.92;6.65;1.38;4.59;0.05;0.01;56.82;0.57;0.12;-;-;0.00;
Дулово;56586.41;565.86;100.00;2706.29;27.06;4.78;1486.81;14.87;2.63;37342.32;373.42;65.99;14817.71;148.18;26.19;90.12;0.90;0.16;3.12;0.03;0.01;140.04;1.40;0.25;-;-;-;56586.41;565.86;100.00;2717.40;27.17;4.80;1486.51;14.87;2.63;37298.77;372.99;65.91;14817.71;148.18;26.19;90.12;0.90;0.16;3.12;0.03;0.01;172.78;1.73;0.31;-;-;0.00;56586.41;565.86;100.00;2714.89;27.15;4.80;1489.68;14.90;2.63;37236.37;372.36;65.80;14817.71;148.18;26.19;89.96;0.90;0.16;3.12;0.03;0.01;234.68;2.35;0.41;-;-;-;56586.41;565.86;100.00;2717.09;27.17;4.80;1489.05;14.89;2.63;37202.98;372.03;65.75;14798.18;147.98;26.15;89.96;0.90;0.16;3.12;0.03;0.01;286.02;2.86;0.51;-;-;0.00;
Кайнарджа;31462.40;314.62;100.00;1139.23;11.39;3.62;808.44;8.08;2.57;27445.34;274.45;87.23;2029.09;20.29;6.45;15.13;0.15;0.05;9.30;0.09;0.03;15.85;0.16;0.05;-;-;-;31462.40;314.62;100.00;1139.23;11.39;3.62;808.44;8.08;2.57;27445.34;274.45;87.23;2029.09;20.29;6.45;15.13;0.15;0.05;9.30;0.09;0.03;15.85;0.16;0.05;-;-;0.00;31462.40;314.62;100.00;1139.24;11.39;3.62;808.43;8.08;2.57;27445.34;274.45;87.23;2029.09;20.29;6.45;15.13;0.15;0.05;9.30;0.09;0.03;15.85;0.16;0.05;-;-;-;31462.40;314.62;100.00;1139.46;11.39;3.62;808.43;8.08;2.57;27447.96;274.48;87.24;2026.27;20.26;6.44;15.13;0.15;0.05;9.30;0.09;0.03;15.85;0.16;0.05;-;-;0.00;
Силистра;51648.41;516.48;100.00;3576.84;35.77;6.93;1845.25;18.45;3.57;42727.86;427.28;82.73;1242.93;12.43;2.41;1250.10;12.50;2.42;895.79;8.96;1.73;109.64;1.10;0.21;-;-;-;51648.41;516.48;100.00;3582.78;35.83;6.94;1845.26;18.45;3.57;42726.48;427.26;82.73;1242.93;12.43;2.41;1249.51;12.50;2.42;895.79;8.96;1.73;105.66;1.06;0.20;-;-;0.00;51648.41;516.48;100.00;3493.75;34.94;6.76;1939.18;19.39;3.75;42718.55;427.19;82.71;1242.93;12.43;2.41;1251.94;12.52;2.42;896.40;8.96;1.74;105.66;1.06;0.20;0.00;0.00;0.00;51647.46;516.47;100.00;3494.38;34.94;6.77;1938.76;19.39;3.75;42732.36;427.32;82.74;1227.96;12.28;2.38;1251.94;12.52;2.42;896.40;8.96;1.74;105.66;1.06;0.20;-;-;0.00;
Ситово;27073.18;270.73;100.00;1442.85;14.43;5.33;747.81;7.48;2.76;22118.97;221.19;81.70;1740.21;17.40;6.43;901.45;9.01;3.33;1.43;0.01;0.01;120.46;1.20;0.44;-;-;-;27073.18;270.73;100.00;1445.27;14.45;5.34;747.80;7.48;2.76;22116.56;221.17;81.69;1740.21;17.40;6.43;901.45;9.01;3.33;1.43;0.01;0.01;120.46;1.20;0.44;-;-;0.00;27073.18;270.73;100.00;1445.26;14.45;5.34;747.81;7.48;2.76;22116.46;221.16;81.69;1740.21;17.40;6.43;901.55;9.02;3.33;1.43;0.01;0.01;120.46;1.20;0.44;-;-;-;27073.18;270.73;100.00;1444.47;14.44;5.34;748.58;7.49;2.77;22148.05;221.48;81.81;1708.47;17.08;6.31;901.72;9.02;3.33;1.43;0.01;0.01;120.46;1.20;0.44;-;-;0.00;
Тутракан;44839.85;448.40;100.00;2076.55;20.77;4.63;1311.36;13.11;2.92;30508.14;305.08;68.04;7627.14;76.27;17.01;2607.66;26.08;5.82;8.56;0.09;0.02;700.44;7.00;1.56;0.00;0.00;0.00;44839.85;448.40;100.00;2076.77;20.77;4.63;1311.41;13.11;2.92;30507.86;305.08;68.04;7627.14;76.27;17.01;2607.66;26.08;5.82;8.56;0.09;0.02;700.44;7.00;1.56;0.00;0.00;0.00;44839.85;448.40;100.00;2077.18;20.77;4.63;1311.33;13.11;2.92;30507.54;305.08;68.04;7627.14;76.27;17.01;2607.66;26.08;5.82;8.56;0.09;0.02;700.44;7.00;1.56;0.00;0.00;0.00;44839.85;448.40;100.00;2075.09;20.75;4.63;1311.48;13.11;2.92;30511.88;305.12;68.05;7624.73;76.25;17.00;2607.66;26.08;5.82;8.56;0.09;0.02;700.44;7.00;1.56;-;-;0.00;
Североизточен;1463419.85;14634.20;100.00;86122.42;861.22;5.89;42802.82;428.03;2.92;962960.06;9629.60;65.80;341362.03;3413.62;23.33;18314.28;183.14;1.25;4918.39;49.18;0.34;3767.31;37.67;0.26;3172.54;31.73;0.22;1463421.09;14634.21;100.00;85458.86;854.59;5.84;43827.65;438.28;2.99;961536.79;9615.37;65.70;342517.64;3425.18;23.41;18370.04;183.70;1.26;4919.76;49.20;0.34;3780.13;37.80;0.26;3010.22;30.10;0.21;1463423.82;14634.24;100.00;85757.71;857.58;5.86;44018.14;440.18;3.01;960410.99;9604.11;65.63;343296.16;3432.96;23.46;18437.98;184.38;1.26;4919.68;49.20;0.34;3795.72;37.96;0.26;2787.44;27.87;0.19;1463423.18;14634.23;100.00;85275.37;852.75;5.83;44856.79;448.57;3.07;959546.12;9595.46;65.57;343262.29;3432.62;23.46;18940.31;189.40;1.29;4927.04;49.27;0.34;3844.29;38.44;0.26;2770.97;27.71;0.19;
Варна;381867.48;3818.67;100.00;26815.63;268.16;7.02;13464.83;134.65;3.53;215874.00;2158.74;56.53;111174.63;1111.75;29.11;7572.82;75.73;1.98;2887.19;28.87;0.76;1942.50;19.42;0.51;2135.88;21.36;0.56;381868.78;3818.69;100.00;26423.03;264.23;6.92;13944.17;139.44;3.65;215731.19;2157.31;56.49;111245.60;1112.46;29.13;7578.19;75.78;1.98;2887.23;28.87;0.76;1955.19;19.55;0.51;2104.18;21.04;0.55;381868.78;3818.69;100.00;26641.58;266.42;6.98;13970.62;139.71;3.66;215178.53;2151.79;56.35;111509.01;1115.09;29.20;7578.19;75.78;1.98;2887.32;28.87;0.76;1996.92;19.97;0.52;2106.61;21.07;0.55;381868.74;3818.69;100.00;26867.58;268.68;7.04;14064.99;140.65;3.68;214566.58;2145.67;56.19;111750.06;1117.50;29.26;7604.91;76.05;1.99;2895.96;28.96;0.76;2014.28;20.14;0.53;2104.37;21.04;0.55;
Аврен;35367.25;353.67;100.00;2304.47;23.04;6.52;1117.05;11.17;3.16;19638.85;196.39;55.53;11320.16;113.20;32.01;468.05;4.68;1.32;208.69;2.09;0.59;309.99;3.10;0.88;0.00;0.00;0.00;35367.25;353.67;100.00;2311.56;23.12;6.54;1118.79;11.19;3.16;19617.44;196.17;55.47;11319.16;113.19;32.00;469.23;4.69;1.33;208.69;2.09;0.59;322.40;3.22;0.91;0.00;0.00;0.00;35367.25;353.67;100.00;2314.56;23.15;6.54;1119.45;11.19;3.17;19407.89;194.08;54.88;11524.91;115.25;32.59;469.36;4.69;1.33;208.69;2.09;0.59;322.40;3.22;0.91;0.00;0.00;0.00;35367.25;353.67;100.00;2322.75;23.23;6.57;1118.84;11.19;3.16;19366.14;193.66;54.76;11547.37;115.47;32.65;469.36;4.69;1.33;208.69;2.09;0.59;334.10;3.34;0.94;0.00;0.00;0.00;
Аксаково;46100.24;461.00;100.00;3207.24;32.07;6.96;1632.50;16.33;3.54;28854.98;288.55;62.59;11535.14;115.35;25.02;191.79;1.92;0.42;600.89;6.01;1.30;77.70;0.78;0.17;0.00;0.00;0.00;46100.24;461.00;100.00;3036.74;30.37;6.59;1796.23;17.96;3.90;28815.50;288.15;62.51;11577.33;115.77;25.11;193.85;1.94;0.42;600.89;6.01;1.30;79.70;0.80;0.17;0.00;0.00;0.00;46100.24;461.00;100.00;3024.16;30.24;6.56;1807.02;18.07;3.92;28816.54;288.17;62.51;11577.33;115.77;25.11;193.85;1.94;0.42;600.99;6.01;1.30;79.70;0.80;0.17;0.64;0.01;0.00;46094.33;460.94;100.00;2949.65;29.50;6.40;1884.64;18.85;4.09;28828.08;288.28;62.54;11553.97;115.54;25.07;196.83;1.97;0.43;600.99;6.01;1.30;79.70;0.80;0.17;0.48;0.00;0.00;
Белослав;5989.72;59.90;100.00;500.04;5.00;8.35;429.25;4.29;7.17;2796.23;27.96;46.68;1276.94;12.77;21.32;725.35;7.25;12.11;130.50;1.31;2.18;131.41;1.31;2.19;-;-;-;5989.72;59.90;100.00;502.52;5.03;8.39;431.23;4.31;7.20;2807.06;28.07;46.86;1262.13;12.62;21.07;725.34;7.25;12.11;130.50;1.31;2.18;130.94;1.31;2.19;-;-;0.00;5989.72;59.90;100.00;501.44;5.01;8.37;431.22;4.31;7.20;2736.97;27.37;45.69;1262.13;12.62;21.07;725.34;7.25;12.11;130.50;1.31;2.18;202.11;2.02;3.37;-;-;-;6045.42;60.45;100.00;506.97;5.07;8.39;431.66;4.32;7.14;2787.58;27.88;46.11;1262.13;12.62;20.88;724.47;7.24;11.98;130.50;1.31;2.16;202.11;2.02;3.34;-;-;0.00;
Бяла;16152.49;161.52;100.00;882.98;8.83;5.47;455.73;4.56;2.82;4848.84;48.49;30.02;7759.62;77.60;48.04;66.00;0.66;0.41;35.04;0.35;0.22;4.27;0.04;0.03;2100.01;21.00;13.00;16152.49;161.52;100.00;864.86;8.65;5.35;459.71;4.60;2.85;4866.12;48.66;30.13;7757.34;77.57;48.03;66.00;0.66;0.41;34.18;0.34;0.21;4.27;0.04;0.03;2100.01;21.00;13.00;16152.49;161.52;100.00;862.33;8.62;5.34;458.50;4.59;2.84;4869.86;48.70;30.15;7757.34;77.57;48.03;66.00;0.66;0.41;34.18;0.34;0.21;4.27;0.04;0.03;2100.01;21.00;13.00;16152.58;161.53;100.00;870.95;8.71;5.39;461.43;4.61;2.86;4808.81;48.09;29.77;7803.65;78.04;48.31;66.00;0.66;0.41;34.18;0.34;0.21;7.48;0.07;0.05;2100.10;21.00;13.00;
Варна;23845.91;238.46;100.00;7056.28;70.56;29.59;2065.13;20.65;8.66;6053.07;60.53;25.38;6356.71;63.57;26.66;1601.96;16.02;6.72;628.22;6.28;2.63;84.52;0.85;0.35;0.01;0.00;0.00;23847.21;238.47;100.00;7112.36;71.12;29.82;2082.08;20.82;8.73;5979.69;59.80;25.07;6357.31;63.57;26.66;1602.13;16.02;6.72;629.12;6.29;2.64;84.52;0.85;0.35;0.01;0.00;0.00;23847.21;238.47;100.00;7123.26;71.23;29.87;2091.74;20.92;8.77;5959.11;59.59;24.99;6357.31;63.57;26.66;1602.13;16.02;6.72;629.12;6.29;2.64;84.52;0.85;0.35;0.01;0.00;0.00;23797.29;237.97;100.00;7181.34;71.81;30.18;2098.58;20.99;8.82;5806.84;58.07;24.40;6391.86;63.92;26.86;1601.90;16.02;6.73;631.50;6.32;2.65;85.20;0.85;0.36;0.07;0.00;0.00;
Ветрино;29336.31;293.36;100.00;1453.34;14.53;4.95;912.34;9.12;3.11;24263.97;242.64;82.71;2520.99;25.21;8.59;125.74;1.26;0.43;13.13;0.13;0.04;46.80;0.47;0.16;0.00;0.00;0.00;29336.31;293.36;100.00;1454.80;14.55;4.96;912.61;9.13;3.11;24261.94;242.62;82.70;2521.28;25.21;8.59;125.74;1.26;0.43;13.13;0.13;0.04;46.80;0.47;0.16;0.00;0.00;0.00;29336.31;293.36;100.00;1454.86;14.55;4.96;912.75;9.13;3.11;24261.74;242.62;82.70;2521.28;25.21;8.59;125.74;1.26;0.43;13.13;0.13;0.04;46.80;0.47;0.16;0.00;0.00;0.00;29336.31;293.36;100.00;1452.96;14.53;4.95;912.75;9.13;3.11;24291.73;242.92;82.80;2492.12;24.92;8.50;122.35;1.22;0.42;13.13;0.13;0.04;51.26;0.51;0.17;0.00;0.00;0.00;
Вълчи дол;47128.42;471.28;100.00;2272.33;22.72;4.82;1599.00;15.99;3.39;36640.84;366.41;77.75;6199.96;62.00;13.16;384.41;3.84;0.82;0.15;0.00;0.00;31.73;0.32;0.07;-;-;-;47128.42;471.28;100.00;2233.37;22.33;4.74;1638.72;16.39;3.48;36606.89;366.07;77.67;6233.15;62.33;13.23;384.41;3.84;0.82;0.15;0.00;0.00;31.73;0.32;0.07;-;-;0.00;47128.42;471.28;100.00;2306.85;23.07;4.89;1638.76;16.39;3.48;36533.37;365.33;77.52;6233.15;62.33;13.23;384.41;3.84;0.82;0.15;0.00;0.00;31.73;0.32;0.07;-;-;-;47128.42;471.28;100.00;2488.96;24.89;5.28;1641.02;16.41;3.48;36455.45;364.55;77.35;6125.17;61.25;13.00;385.94;3.86;0.82;0.15;0.00;0.00;31.73;0.32;0.07;-;-;0.00;
Девня;12093.99;120.94;100.00;1326.90;13.27;10.97;833.96;8.34;6.90;5986.01;59.86;49.50;3054.95;30.55;25.26;208.01;2.08;1.72;1.73;0.02;0.01;682.43;6.82;5.64;0.00;0.00;0.00;12093.99;120.94;100.00;1327.27;13.27;10.97;836.38;8.36;6.92;5983.68;59.84;49.48;3054.63;30.55;25.26;207.98;2.08;1.72;1.73;0.02;0.01;682.32;6.82;5.64;-;-;0.00;12093.99;120.94;100.00;1323.87;13.24;10.95;837.11;8.37;6.92;5986.51;59.87;49.50;3054.63;30.55;25.26;207.83;2.08;1.72;1.73;0.02;0.01;682.32;6.82;5.64;0.00;0.00;0.00;12093.99;120.94;100.00;1337.40;13.37;11.06;837.74;8.38;6.93;5971.45;59.71;49.38;3052.19;30.52;25.24;207.83;2.08;1.72;4.05;0.04;0.03;683.33;6.83;5.65;-;-;0.00;
Долни чифлик;48475.15;484.75;100.00;1906.21;19.06;3.93;910.59;9.11;1.88;16460.69;164.61;33.96;27214.91;272.15;56.14;731.57;7.32;1.51;1124.71;11.25;2.32;90.62;0.91;0.19;35.86;0.36;0.07;48475.15;484.75;100.00;1676.98;16.77;3.46;1158.91;11.59;2.39;16468.59;164.69;33.97;27218.75;272.19;56.15;733.56;7.34;1.51;1124.71;11.25;2.32;89.48;0.89;0.18;4.16;0.04;0.01;48475.15;484.75;100.00;1673.82;16.74;3.45;1164.63;11.65;2.40;16403.27;164.03;33.84;27279.74;272.80;56.28;733.56;7.34;1.51;1124.71;11.25;2.32;89.48;0.89;0.18;5.94;0.06;0.01;48475.15;484.75;100.00;1678.14;16.78;3.46;1167.10;11.67;2.41;16444.12;164.44;33.92;27238.16;272.38;56.19;733.56;7.34;1.51;1124.65;11.25;2.32;85.70;0.86;0.18;3.72;0.04;0.01;
Дългопол;44059.81;440.60;100.00;1448.64;14.49;3.29;1181.79;11.82;2.68;18142.45;181.42;41.18;20847.33;208.47;47.32;2280.66;22.81;5.18;125.36;1.25;0.28;33.57;0.34;0.08;-;-;-;44059.81;440.60;100.00;1443.61;14.44;3.28;1181.84;11.82;2.68;18143.03;181.43;41.18;20851.72;208.52;47.33;2280.66;22.81;5.18;125.36;1.25;0.28;33.57;0.34;0.08;-;-;0.00;44059.81;440.60;100.00;1445.77;14.46;3.28;1181.50;11.81;2.68;18141.03;181.41;41.17;20848.39;208.48;47.32;2280.66;22.81;5.18;125.36;1.25;0.28;37.10;0.37;0.08;-;-;-;44059.81;440.60;100.00;1448.68;14.49;3.29;1181.75;11.82;2.68;17876.72;178.77;40.57;21078.89;210.79;47.84;2307.31;23.07;5.24;129.35;1.29;0.29;37.10;0.37;0.08;-;-;0.00;
Провадия;51745.74;517.46;100.00;3253.84;32.54;6.29;1533.55;15.34;2.96;36362.24;363.62;70.27;9737.76;97.38;18.82;686.53;6.87;1.33;16.92;0.17;0.03;154.90;1.55;0.30;-;-;-;51745.74;517.46;100.00;3253.23;32.53;6.29;1533.58;15.34;2.96;36362.83;363.63;70.27;9737.76;97.38;18.82;686.53;6.87;1.33;16.92;0.17;0.03;154.90;1.55;0.30;-;-;0.00;51745.74;517.46;100.00;3375.79;33.76;6.52;1533.63;15.34;2.96;36289.32;362.89;70.13;9737.76;97.38;18.82;686.53;6.87;1.33;16.92;0.17;0.03;105.79;1.06;0.20;-;-;-;51745.74;517.46;100.00;3383.42;33.83;6.54;1534.51;15.35;2.97;36160.44;361.60;69.88;9858.07;98.58;19.05;686.53;6.87;1.33;16.92;0.17;0.03;105.85;1.06;0.20;-;-;0.00;
Суворово;21572.44;215.72;100.00;1203.36;12.03;5.58;793.93;7.94;3.68;15825.84;158.26;73.36;3350.15;33.50;15.53;102.76;1.03;0.48;1.84;0.02;0.01;294.56;2.95;1.37;0.00;0.00;0.00;21572.44;215.72;100.00;1205.73;12.06;5.59;794.08;7.94;3.68;15818.42;158.18;73.33;3355.04;33.55;15.55;102.76;1.03;0.48;1.84;0.02;0.01;294.56;2.95;1.37;0.00;0.00;0.00;21572.44;215.72;100.00;1234.85;12.35;5.72;794.31;7.94;3.68;15772.92;157.73;73.12;3355.04;33.55;15.55;102.78;1.03;0.48;1.84;0.02;0.01;310.70;3.11;1.44;0.00;0.00;0.00;21572.44;215.72;100.00;1246.36;12.46;5.78;794.98;7.95;3.69;15769.22;157.69;73.10;3346.49;33.46;15.51;102.85;1.03;0.48;1.84;0.02;0.01;310.70;3.11;1.44;-;-;0.00;
Добрич;471438.64;4714.39;100.00;26173.94;261.74;5.55;11544.30;115.44;2.45;372828.58;3728.29;79.08;57258.59;572.59;12.15;1657.59;16.58;0.35;1273.32;12.73;0.27;702.32;7.02;0.15;0.00;0.00;0.00;471438.64;4714.39;100.00;26100.03;261.00;5.54;11610.04;116.10;2.46;372836.80;3728.37;79.08;57257.46;572.57;12.15;1660.76;16.61;0.35;1273.32;12.73;0.27;700.23;7.00;0.15;0.00;0.00;0.00;471441.37;4714.41;100.00;25988.50;259.88;5.51;11710.09;117.10;2.48;372532.90;3725.33;79.02;57564.84;575.65;12.21;1673.89;16.74;0.36;1272.24;12.72;0.27;698.92;6.99;0.15;0.00;0.00;0.00;471441.37;4714.41;100.00;25676.38;256.76;5.45;11914.10;119.14;2.53;372725.25;3727.25;79.06;57455.82;574.56;12.19;1696.98;16.97;0.36;1270.43;12.70;0.27;702.42;7.02;0.15;0.00;0.00;0.00;
Балчик;52325.69;523.26;100.00;4043.61;40.44;7.73;1501.53;15.02;2.87;39990.14;399.90;76.43;5956.47;59.56;11.38;149.78;1.50;0.29;576.98;5.77;1.10;107.17;1.07;0.20;-;-;-;52325.69;523.26;100.00;4041.23;40.41;7.72;1502.03;15.02;2.87;39992.08;399.92;76.43;5956.54;59.57;11.38;149.78;1.50;0.29;576.98;5.77;1.10;107.04;1.07;0.20;-;-;0.00;52328.41;523.28;100.00;4004.50;40.04;7.65;1501.65;15.02;2.87;40010.55;400.11;76.46;5975.19;59.75;11.42;152.83;1.53;0.29;576.27;5.76;1.10;107.43;1.07;0.21;0.00;0.00;0.00;52328.41;523.28;100.00;3855.54;38.56;7.37;1502.10;15.02;2.87;40158.97;401.59;76.74;5975.39;59.75;11.42;152.95;1.53;0.29;573.97;5.74;1.10;109.51;1.10;0.21;-;-;0.00;
Генерал Тошево;98158.89;981.59;100.00;4483.18;44.83;4.57;2038.09;20.38;2.08;83834.80;838.35;85.41;7630.28;76.30;7.77;41.53;0.42;0.04;3.39;0.03;0.00;127.62;1.28;0.13;-;-;-;98158.89;981.59;100.00;4414.56;44.15;4.50;2100.28;21.00;2.14;83841.74;838.42;85.41;7629.58;76.30;7.77;41.72;0.42;0.04;3.39;0.03;0.00;127.62;1.28;0.13;-;-;0.00;98158.89;981.59;100.00;4322.00;43.22;4.40;2200.90;22.01;2.24;83834.26;838.34;85.41;7628.93;76.29;7.77;42.05;0.42;0.04;3.39;0.03;0.00;127.35;1.27;0.13;-;-;-;98158.89;981.59;100.00;4122.97;41.23;4.20;2402.89;24.03;2.45;83802.02;838.02;85.37;7647.79;76.48;7.79;52.47;0.52;0.05;3.39;0.03;0.00;127.35;1.27;0.13;-;-;0.00;
Добрич-селска;129405.31;1294.05;100.00;6313.67;63.14;4.88;2986.42;29.86;2.31;98740.22;987.40;76.30;20769.68;207.70;16.05;408.73;4.09;0.32;14.52;0.15;0.01;172.07;1.72;0.13;0.00;0.00;0.00;129405.31;1294.05;100.00;6313.87;63.14;4.88;2986.38;29.86;2.31;98737.23;987.37;76.30;20769.68;207.70;16.05;411.55;4.12;0.32;14.52;0.15;0.01;172.07;1.72;0.13;0.00;0.00;0.00;129405.31;1294.05;100.00;6308.64;63.09;4.88;2986.68;29.87;2.31;98688.65;986.89;76.26;20815.09;208.15;16.09;420.96;4.21;0.33;14.52;0.15;0.01;170.76;1.71;0.13;0.00;0.00;0.00;129405.31;1294.05;100.00;6308.90;63.09;4.88;2986.74;29.87;2.31;98694.80;986.95;76.27;20808.95;208.09;16.08;420.64;4.21;0.33;14.52;0.15;0.01;170.76;1.71;0.13;-;-;0.00;
Добрич;10894.01;108.94;100.00;2121.87;21.22;19.48;782.57;7.83;7.18;7213.64;72.14;66.22;710.46;7.10;6.52;47.42;0.47;0.44;0.62;0.01;0.01;17.42;0.17;0.16;-;-;-;10894.01;108.94;100.00;2127.28;21.27;19.53;782.50;7.82;7.18;7208.38;72.08;66.17;710.38;7.10;6.52;47.42;0.47;0.44;0.62;0.01;0.01;17.42;0.17;0.16;-;-;0.00;10894.01;108.94;100.00;2145.28;21.45;19.69;785.10;7.85;7.21;7187.97;71.88;65.98;710.35;7.10;6.52;47.39;0.47;0.44;0.62;0.01;0.01;17.30;0.17;0.16;-;-;-;10894.01;108.94;100.00;2174.90;21.75;19.96;783.33;7.83;7.19;7160.11;71.60;65.73;710.35;7.10;6.52;47.39;0.47;0.44;0.62;0.01;0.01;17.30;0.17;0.16;-;-;0.00;
Каварна;48111.30;481.11;100.00;3254.03;32.54;6.76;1283.37;12.83;2.67;40099.67;401.00;83.35;2979.17;29.79;6.19;28.61;0.29;0.06;430.88;4.31;0.90;35.58;0.36;0.07;-;-;-;48111.30;481.11;100.00;3250.68;32.51;6.76;1283.14;12.83;2.67;40103.25;401.03;83.36;2979.17;29.79;6.19;28.61;0.29;0.06;430.88;4.31;0.90;35.58;0.36;0.07;-;-;0.00;48111.30;481.11;100.00;3246.86;32.47;6.75;1282.79;12.83;2.67;40107.41;401.07;83.36;2979.17;29.79;6.19;28.98;0.29;0.06;430.51;4.31;0.89;35.58;0.36;0.07;-;-;-;48111.30;481.11;100.00;3246.08;32.46;6.75;1283.30;12.83;2.67;40171.97;401.72;83.50;2906.50;29.07;6.04;35.54;0.36;0.07;430.91;4.31;0.90;37.00;0.37;0.08;-;-;0.00;
